Rating,Title,Year,BoxOffice
NaN,Thor: Love and Thunder,2022,
0.2,The Death and Life of John F. Donovan,2019,
0.87,This Changes Everything,2019,
0.61,Vox Lux,2018,
0.91,Eating Animals,2018,
0.88,Annihilation,2018,20.7
0.16,The Summoning (Planetarium),2017,
0.25,The Pulitzer at 100,2017,0.003
0.43,Song to Song,2017,0.5
0.87,Jackie,2016,14
0.71,A Tale of Love and Darkness,2016,0.6
0.92,The Seventh Fire,2016,0.0276
0.47,Knight of Cups,2016,0.4
0.45,Pride and Prejudice and Zombies,2016,8.7
0.43,Jane Got a Gun,2016,1
0.66,Thor: The Dark World,2013,206.4
0.55,Hesher,2011,0.4
0.77,Thor,2011,181.1
0.28,Your Highness,2011,21.7
0.39,The Other Woman,2011,0.0211
0.49,No Strings Attached,2011,70.4
0.85,Black Swan,2010,107
0.64,Brothers,2009,28.6
0.37,"New York, I Love You",2009,1.7
0.43,The Other Boleyn Girl,2008,26.9
0.38,Mr. Magorium's Wonder Emporium,2007,32.2
0.68,The Darjeeling Limited,2007,12
0.3,Goya's Ghosts,2007,0.8
0.46,My Blueberry Nights,2007,0.8
0.87,Paris Je T'aime,2007,4.9
0.26,Free Zone,2006,
0.73,V for Vendetta,2006,70.6
0.8,Star Wars: Episode III - Revenge of the Sith,2005,
0.68,Closer,2004,34
0.86,Garden State,2004,26.8
0.71,Cold Mountain,2003,
0.65,Star Wars: Episode II - Attack of the Clones,2002,308
0.64,Zoolander,2001,44.8
0.64,Anywhere but Here,2000,
0.35,Where the Heart Is,2000,
0.53,Star Wars: Episode I - The Phantom Menace,1999,431.1
0.8,The Prince of Egypt,1998,
0.54,Mars Attacks!,1996,
0.79,Everyone Says I Love You,1996,
0.79,Beautiful Girls,1996,
0.87,Heat,1995,
0.74,Leon: The Professional,1994,
