Rating,Title,Year,License
0.88,What She Said: The Art of Pauline Kael,2019,140
0.86,Friedkin Uncut,2019,110
0.85,Once Upon a Time In Hollywood,2019,90
0.75,The Hateful Eight,2015,50
0.44,She's Funny That Way,2015,110
0.87,Django Unchained,2012,140
0.92,Corman's World: Exploits Of A Hollywood Rebel,2011,110
0.89,Inglourious Basterds,2009,50
0.33,Killshot,2008,90
0.56,Sukiyaki Western Django,2008,50
0.1,Hell Ride,2008,90
0.95,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,110
0.62,Diary of the Dead,2007,190
0.74,Planet Terror (Grindhouse Presents: Robert Rodriguez's Planet Terror),2007,190
0.44,Hostel Part II,2007,50
0.84,Grindhouse,2007,90
0.64,Death Proof,2007,90
0.61,Hostel,2006,110
0.07,Daltry Calhoun,2005,120
0.3,The Muppets' Wizard of Oz,2005,110
0.97,Double Dare,2005,90
0.77,Sin City,2005,50
1,Z Channel: A Magnificent Obsession,2004,110
0.84,Kill Bill: Volume 2,2004,90
0.85,Kill Bill: Volume 1,2003,90
0.22,Little Nicky,2000,110
0.22,From Dusk Till Dawn 3: The Hangman's Daughter,2000,50
0.09,From Dusk Till Dawn 2: Texas Blood Money,1999,50
0.86,God Said 'Ha!',1998,110
0.87,Jackie Brown,1997,110
0.88,Full Tilt Boogie,1997,90
0.13,Four Rooms,1996,90
0.17,Curdled,1996,50
0.33,Girl 6,1996,50
0.62,From Dusk Till Dawn,1996,110
0.88,Crimson Tide,1995,120
0.17,Destiny Turns on the Radio,1995,120
0.15,Sleep with Me,1994,90
0.91,Pulp Fiction,1994,110
0.36,Killing Zoe,1994,190
0.93,True Romance,1993,50
0.92,Reservoir Dogs,1992,120
